gene pos_mean pos_sd pos_sCV Fano_pos neg_mean neg_sd neg_sCV Fano_neg
Lypla1 0.3908 0.7834 4.0179 1.5703 0.4385 0.7545 2.9607 1.2982
Tcea1 0.2598 0.6668 6.5878 1.7115 0.2541 0.6202 5.9563 1.5137
Atp6v1h 0.2066 0.5934 8.2514 1.7047 0.2609 0.6228 5.697 1.4866
Rrs1 0.1841 0.5597 9.2385 1.7011 0.2199 0.5576 6.4327 1.4143
Sgk3 0.3697 0.7842 4.4982 1.6632 0.4294 0.7667 3.1887 1.3691
Cops5 0.3127 0.731 5.4663 1.7092 0.3269 0.6771 4.2905 1.4025
Tram1 1.1741 1.1654 0.9853 1.1568 1.225 1.0496 0.7341 0.8993
Eya1 0.2067 0.6204 9.0103 1.8623 0.263 0.6334 5.8017 1.5256
Terf1 0.2097 0.6133 8.5578 1.7942 0.1528 0.4756 9.6921 1.4807
Rpl7 2.0943 1.2517 0.3572 0.7481 2.3444 1.0565 0.2031 0.4761
Ube2w 0.2049 0.6053 8.7272 1.7882 0.2611 0.6242 5.7146 1.4921
Tceb1 0.4389 0.8388 3.653 1.6033 0.4252 0.7673 3.2574 1.3849
Mcm3 0.2412 0.6429 7.1064 1.7137 0.2265 0.5751 6.4456 1.46
Ogfrl1 0.4585 0.8775 3.6638 1.6797 0.567 0.8714 2.362 1.3393
Ptp4a1 0.5006 0.8949 3.1957 1.5999 0.6235 0.8915 2.0443 1.2747
Ccdc115 0.5806 0.9406 2.6246 1.5238 0.5612 0.8559 2.3258 1.3053
Imp4 0.2066 0.6063 8.6139 1.7793 0.2086 0.5588 7.1792 1.4974
Ptpn18 0.762 1.0586 1.9297 1.4705 0.9553 1.029 1.1603 1.1084
Cox5b 1.3664 1.1938 0.7633 1.043 1.463 1.0741 0.539 0.7885
Unc50 0.2744 0.7059 6.618 1.8161 0.3277 0.6939 4.4839 1.4693
Mrpl30 0.4922 0.8963 3.316 1.6322 0.5422 0.8592 2.5107 1.3614
Txndc9 0.3745 0.8032 4.6013 1.723 0.5062 0.8238 2.6485 1.3407
Eif5b 0.2104 0.6155 8.557 1.8006 0.326 0.6997 4.6059 1.5016
Pdcl3 0.4968 0.8975 3.2641 1.6215 0.5662 0.8699 2.3607 1.3366
Rpl31 1.56 1.2446 0.6365 0.993 1.9395 1.1035 0.3237 0.6278
Il1r2 0.254 0.7201 8.0397 2.0419 0.5141 0.9648 3.5224 1.8107
Mrps9 0.281 0.6835 5.9169 1.6625 0.2968 0.6494 4.7879 1.4209
Asnsd1 0.3897 0.8015 4.2311 1.6487 0.4704 0.8012 2.9007 1.3646
